rhoa_021209,index
163.6067903848804,0
163.6754727775854,1
163.4601482190302,2
162.94800491061198,3
163.1386097497057,4
341.6660947003333,5
341.2050440327807,6
340.21735921257067,7
233.5287823732012,8
308.1439156207496,9
291.0019726977871,10
264.9840316771311,11
214.3956110623394,12
187.6683763683096,13
189.21667644493323,14
192.74156015592567,15
165.26079445659758,16
224.04650986530268,17
227.92803222494013,18
227.21404044781065,19
227.73218770757305,20
227.77860577894725,21
230.38672721725248,22
231.9110788122805,23
306.5202424977062,24
1223.406221633334,25
1156.3495827794418,26
208.27640635737052,27
863.8513387239882,28
1021.024146235092,29
1044.4195325813232,30
221.08766099089533,31
191.962113804554,32
819.9213822038446,33
913.9339275523428,34
914.3267605965352,35
178.9785177611351,36
743.5577605263712,37
763.2487944209638,38
617.9771347345022,39
542.570310028227,40
428.6430966781008,41
308.2650008239609,42
380.2650863531949,43
545.3219061499925,44
422.6609879267639,45
543.0529485211126,46
480.0188310335364,47
418.17138560134345,48
541.1554787898378,49
520.136831159746,50
473.7895321909679,51
413.74935375844206,52
539.4264937450122,53
579.8841031118487,54
501.3200375492008,55
460.5808982228451,56
404.9894123133696,57
535.5606790406423,58
562.2225146629872,59
486.5133280734021,60
450.01892226247344,61
397.7880454249892,62
532.7857731852722,63
612.4100535185918,64
530.2306184780936,65
461.8720567886429,66
433.2337696792772,67
386.7945719085714,68
528.377206154398,69
696.6180064626811,70
1007.9614946193386,71
1349.0122225739274,72
1461.770618114111,73
521.6070711733521,74
451.73280984801846,75
425.7417999595263,76
381.2452758609856,77
527.3420825913073,78
696.2058345070056,79
1003.507913857825,80
1328.5243917574078,81
1430.4411074409827,82
464.93882156287407,83
411.4150516157999,84
400.20359474324016,85
365.1505556389794,86
521.661589779686,87
697.1723345001593,88
1001.3937698377764,89
1312.0495267593906,90
1404.1581109398269,91
392.64546627341326,92
388.71973988335225,93
357.1550961878108,94
521.3955168870257,95
695.8498456394032,96
992.5409471165068,97
1277.198002631169,98
1353.7228584309532,99
352.21203428223725,100
367.9643408997055,101
344.14886070493014,102
520.7366642906115,103
694.1361619340347,104
980.9956050314322,105
1234.1527380603036,106
365.3030554882706,107
340.1927702970001,108
689.1724750947197,109
959.514604095856,110
383.7207893460027,111
341.32350186242286,112
680.8401223872244,113
927.1862646996284,114
796.7866141461631,115
695.8243252230096,116
794.346536540615,117
693.8386008603055,118
793.2752968501866,119
563.6564964747508,120
691.9846532531242,121
792.3362931866961,122
562.6996829597907,123
692.0039977074275,124
792.7305151190286,125
554.8470291922732,126
687.1590760644038,127
789.8501855007862,128
548.143710947194,129
683.2962008408314,130
787.7194034765396,131
541.0030891841211,132
679.3057003095315,133
785.5944813801996,134
532.9867731567432,135
674.9226706704222,136
783.3175657932877,137
524.6678296066439,138
670.622176380898,139
781.2405694494888,140
517.0298191803654,141
667.1845720508328,142
779.9256115540242,143
479.9275215587997,144
675.1382352573016,145
965.4755502170128,146
1297.6328126256028,147
1411.0166600015637,148
503.0949515223037,149
659.8170437421014,150
776.2039066901867,151
481.2485365656185,152
675.75881277046,153
966.016582277482,154
1296.096316509795,155
1407.501665745747,156
487.1653980561193,157
651.7823272834478,158
772.3653027871275,159
482.6828167480819,160
676.4071968995229,161
966.4414987741648,162
1293.7414651191011,163
1402.6599265581644,164
534.6199749283107,165
513.3844021303147,166
484.39382891191934,167
653.820430740088,168
482.9274324224241,169
676.1921403104714,170
964.5302882449504,171
1284.6595101711482,172
1388.3917464534798,173
465.6338926044892,174
484.4282909010412,175
676.7452617466496,176
964.205761492251,177
1279.0253506533152,178
1378.6246295076617,179
460.63243789452974,180
485.83371163033786,181
677.1319860171972,182
963.1034218496648,183
1270.491347161055,184
1364.662929787315,185
485.5673431442325,186
676.2510931528425,187
958.4631030072322,188
1251.9358596799711,189
1336.9980311564434,190
1034.0253626525405,191
1003.131505685364,192
959.8386742018484,193
783.4330107256648,194
568.4751706748222,195
1030.4911546323556,196
1000.638407862456,197
958.2104262435312,198
782.4448491358875,199
568.0386099504645,200
1035.3787142680242,201
1003.9728974743722,202
960.2892616159852,203
783.4905574201406,204
568.405787276802,205
1039.0946705544204,206
1006.4870751040828,207
961.8392707457735,208
784.2342415755442,209
568.6480787981851,210
1010.4176475415215,211
1041.011753986162,212
1007.7480213088812,213
962.5853755839825,214
784.5235423875628,215
1008.077697025573,216
1039.4025941337068,217
1006.5654837316048,218
961.7724175108398,219
1012.5632148889416,220
1042.7752411092756,221
1008.81231242133,222
1015.532361332745,223
1045.0496890875809,224
1012.3414272467306,225
580.8334097165628,226
678.6819024685364,227
992.5871710338614,228
580.0494650464312,229
678.0987069976676,230
990.6965358630852,231
581.0271554692015,232
678.6906838535061,233
991.6482716036968,234
581.967453643685,235
679.2488380740433,236
992.4422750986558,237
582.1087172217736,238
679.2594251207529,239
991.7997885982364,240
582.8875082269301,241
679.6856436913678,242
992.0760824111866,243
584.6401720204981,244
680.7516333318533,245
993.7939949498004,246
1124.3359440509496,247
1123.9268397562157,248
1124.334978516728,249
1124.4401069893154,250
1124.7171622184949,251
1124.906706084707,252
1124.9551024001933,253
1608.557638071749,254
1608.0720332629546,255
1605.8567590721243,256
1605.79624891753,257
1604.6771933934697,258
1602.7781195240163,259
1603.0868659940184,260
1321.5905252965313,261
1611.0457508677964,262
1321.5182397833826,263
1610.6291081125803,264
1321.7191857386158,265
1610.9543145743703,266
1321.3127163937022,267
1609.5783913797943,268
1321.361711549217,269
1609.4457366567826,270
1320.8472810862734,271
1607.7324383613184,272
1320.8470211362392,273
1607.4195719754837,274
