Time,SWC_20_cm
2022-02-12 00:00:00,0.1112
2022-02-12 01:00:00,0.1109
2022-02-12 02:00:00,0.1106
2022-02-12 03:00:00,0.1103
2022-02-12 04:00:00,0.1101
2022-02-12 05:00:00,0.1098
2022-02-12 06:00:00,0.1096
2022-02-12 07:00:00,0.1093
2022-02-12 08:00:00,0.1092
2022-02-12 09:00:00,0.1092
2022-02-12 10:00:00,0.1095
2022-02-12 11:00:00,0.1105
2022-02-12 12:00:00,0.1116
2022-02-12 13:00:00,0.1126
2022-02-12 14:00:00,0.1135
2022-02-12 15:00:00,0.1141
2022-02-12 16:00:00,0.114
2022-02-12 17:00:00,0.1136
2022-02-12 18:00:00,0.1128
2022-02-12 19:00:00,0.112
2022-02-12 20:00:00,0.1112
2022-02-12 21:00:00,0.1105
2022-02-12 22:00:00,0.1098
2022-02-12 23:00:00,0.1092
2022-02-13 00:00:00,0.1087
2022-02-13 01:00:00,0.1083
2022-02-13 02:00:00,0.108
2022-02-13 03:00:00,0.1077
2022-02-13 04:00:00,0.1075
2022-02-13 05:00:00,0.1073
2022-02-13 06:00:00,0.1071
2022-02-13 07:00:00,0.1069
2022-02-13 08:00:00,0.1067
2022-02-13 09:00:00,0.1068
2022-02-13 10:00:00,0.1072
2022-02-13 11:00:00,0.108
2022-02-13 12:00:00,0.109
2022-02-13 13:00:00,0.1096
2022-02-13 14:00:00,0.1101
2022-02-13 15:00:00,0.11
2022-02-13 16:00:00,0.1097
2022-02-13 17:00:00,0.1092
2022-02-13 18:00:00,0.1086
2022-02-13 19:00:00,0.1082
2022-02-13 20:00:00,0.108
2022-02-13 21:00:00,0.1079
2022-02-13 22:00:00,0.1111
2022-02-13 23:00:00,0.1162
2022-02-14 00:00:00,0.1187
2022-02-14 01:00:00,0.1227
2022-02-14 02:00:00,0.1254
2022-02-14 03:00:00,0.1291
2022-02-14 04:00:00,0.1356
2022-02-14 05:00:00,0.1407
2022-02-14 06:00:00,0.1444
2022-02-14 07:00:00,0.1472
2022-02-14 08:00:00,0.1493
2022-02-14 09:00:00,0.1508
2022-02-14 10:00:00,0.1519
2022-02-14 11:00:00,0.1528
2022-02-14 12:00:00,0.1535
2022-02-14 13:00:00,0.154
2022-02-14 14:00:00,0.1545
2022-02-14 15:00:00,0.155
2022-02-14 16:00:00,0.155
2022-02-14 17:00:00,0.1552
2022-02-14 18:00:00,0.1549
2022-02-14 19:00:00,0.1545
2022-02-14 20:00:00,0.1541
2022-02-14 21:00:00,0.1537
2022-02-14 22:00:00,0.1534
2022-02-14 23:00:00,0.1531
2022-02-15 00:00:00,0.1529
2022-02-15 01:00:00,0.1527
2022-02-15 02:00:00,0.1524
2022-02-15 03:00:00,0.1522
2022-02-15 04:00:00,0.1519
2022-02-15 05:00:00,0.1517
2022-02-15 06:00:00,0.1515
2022-02-15 07:00:00,0.1514
2022-02-15 08:00:00,0.1512
2022-02-15 09:00:00,0.1511
2022-02-15 10:00:00,0.151
2022-02-15 11:00:00,0.1515
2022-02-15 12:00:00,0.152
2022-02-15 13:00:00,0.1525
2022-02-15 14:00:00,0.153
2022-02-15 15:00:00,0.1528
2022-02-15 16:00:00,0.1521
2022-02-15 17:00:00,0.1512
2022-02-15 18:00:00,0.1502
2022-02-15 19:00:00,0.1491
2022-02-15 20:00:00,0.1483
2022-02-15 21:00:00,0.1476
2022-02-15 22:00:00,0.147
2022-02-15 23:00:00,0.1464
2022-02-16 00:00:00,0.146
2022-02-16 01:00:00,0.1456
2022-02-16 02:00:00,0.1452
2022-02-16 03:00:00,0.1449
2022-02-16 04:00:00,0.1446
2022-02-16 05:00:00,0.1443
2022-02-16 06:00:00,0.144
2022-02-16 07:00:00,0.1436
2022-02-16 08:00:00,0.1433
2022-02-16 09:00:00,0.1432
2022-02-16 10:00:00,0.1434
2022-02-16 11:00:00,0.144
2022-02-16 12:00:00,0.1445
2022-02-16 13:00:00,0.145
2022-02-16 14:00:00,0.1455
2022-02-16 15:00:00,0.1457
2022-02-16 16:00:00,0.1454
2022-02-16 17:00:00,0.1448
2022-02-16 18:00:00,0.144
2022-02-16 19:00:00,0.1431
2022-02-16 20:00:00,0.1422
2022-02-16 21:00:00,0.1414
2022-02-16 22:00:00,0.1406
2022-02-16 23:00:00,0.1399
2022-02-17 00:00:00,0.1392
2022-02-17 01:00:00,0.1386
2022-02-17 02:00:00,0.1381
2022-02-17 03:00:00,0.1376
2022-02-17 04:00:00,0.137
2022-02-17 05:00:00,0.1368
2022-02-17 06:00:00,0.1365
2022-02-17 07:00:00,0.1362
2022-02-17 08:00:00,0.136
2022-02-17 09:00:00,0.136
2022-02-17 10:00:00,0.1364
2022-02-17 11:00:00,0.1369
2022-02-17 12:00:00,0.1374
2022-02-17 13:00:00,0.1376
2022-02-17 14:00:00,0.1375
2022-02-17 15:00:00,0.1374
2022-02-17 16:00:00,0.1372
2022-02-17 17:00:00,0.1368
2022-02-17 18:00:00,0.1362
2022-02-17 19:00:00,0.1357
2022-02-17 20:00:00,0.1352
2022-02-17 21:00:00,0.1347
2022-02-17 22:00:00,0.1343
2022-02-17 23:00:00,0.1339
2022-02-18 00:00:00,0.1335
2022-02-18 01:00:00,0.1332
2022-02-18 02:00:00,0.1331
2022-02-18 03:00:00,0.133
2022-02-18 04:00:00,0.1332
2022-02-18 05:00:00,0.1334
2022-02-18 06:00:00,0.1338
2022-02-18 07:00:00,0.134
2022-02-18 08:00:00,0.1343
2022-02-18 09:00:00,0.1346
2022-02-18 10:00:00,0.1351
2022-02-18 11:00:00,0.1358
2022-02-18 12:00:00,0.1366
2022-02-18 13:00:00,0.1371
2022-02-18 14:00:00,0.1375
2022-02-18 15:00:00,0.138
2022-02-18 16:00:00,0.1384
2022-02-18 17:00:00,0.1384
2022-02-18 18:00:00,0.1381
2022-02-18 19:00:00,0.1376
2022-02-18 20:00:00,0.1371
2022-02-18 21:00:00,0.1367
2022-02-18 22:00:00,0.1363
2022-02-18 23:00:00,0.136
2022-02-19 00:00:00,0.1357
2022-02-19 01:00:00,0.1354
2022-02-19 02:00:00,0.1351
2022-02-19 03:00:00,0.1349
2022-02-19 04:00:00,0.1348
2022-02-19 05:00:00,0.1348
2022-02-19 06:00:00,0.135
2022-02-19 07:00:00,0.1354
2022-02-19 08:00:00,0.136
2022-02-19 09:00:00,0.1365
2022-02-19 10:00:00,0.1372
2022-02-19 11:00:00,0.1377
2022-02-19 12:00:00,0.1384
2022-02-19 13:00:00,0.1391
2022-02-19 14:00:00,0.1393
2022-02-19 15:00:00,0.1394
2022-02-19 16:00:00,0.1393
2022-02-19 17:00:00,0.1391
2022-02-19 18:00:00,0.139
2022-02-19 19:00:00,0.1389
2022-02-19 20:00:00,0.1389
2022-02-19 21:00:00,0.1388
2022-02-19 22:00:00,0.1387
2022-02-19 23:00:00,0.1389
2022-02-20 00:00:00,0.1412
2022-02-20 01:00:00,0.1458
2022-02-20 02:00:00,0.1558
2022-02-20 03:00:00,0.1903
2022-02-20 04:00:00,0.2302
2022-02-20 05:00:00,0.2281
2022-02-20 06:00:00,0.2271
2022-02-20 07:00:00,0.2282
2022-02-20 08:00:00,0.2278
2022-02-20 09:00:00,0.2275
2022-02-20 10:00:00,0.2277
2022-02-20 11:00:00,0.2273
2022-02-20 12:00:00,0.2257
2022-02-20 13:00:00,0.2242
2022-02-20 14:00:00,0.2229
2022-02-20 15:00:00,0.2246
2022-02-20 16:00:00,0.2276
2022-02-20 17:00:00,0.2297
2022-02-20 18:00:00,0.2316
2022-02-20 19:00:00,0.2339
2022-02-20 20:00:00,0.2342
2022-02-20 21:00:00,0.234
2022-02-20 22:00:00,0.2341
2022-02-20 23:00:00,0.2333
2022-02-21 00:00:00,0.2323
2022-02-21 01:00:00,0.2306
2022-02-21 02:00:00,0.2297
2022-02-21 03:00:00,0.2288
2022-02-21 04:00:00,0.2297
2022-02-21 05:00:00,0.2302
2022-02-21 06:00:00,0.23
2022-02-21 07:00:00,0.2294
2022-02-21 08:00:00,0.2293
2022-02-21 09:00:00,0.2284
2022-02-21 10:00:00,0.2277
2022-02-21 11:00:00,0.2298
2022-02-21 12:00:00,0.2287
2022-02-21 13:00:00,0.2278
2022-02-21 14:00:00,0.2276
2022-02-21 15:00:00,0.2278
2022-02-21 16:00:00,0.2277
2022-02-21 17:00:00,0.2296
2022-02-21 18:00:00,0.2322
2022-02-21 19:00:00,0.2334
2022-02-21 20:00:00,0.2363
2022-02-21 21:00:00,0.2426
2022-02-21 22:00:00,0.2407
2022-02-21 23:00:00,0.2402
2022-02-22 00:00:00,0.2437
2022-02-22 01:00:00,0.2429
2022-02-22 02:00:00,0.2434
2022-02-22 03:00:00,0.2447
2022-02-22 04:00:00,0.2462
2022-02-22 05:00:00,0.2479
2022-02-22 06:00:00,0.2596
2022-02-22 07:00:00,0.2555
2022-02-22 08:00:00,0.2526
2022-02-22 09:00:00,0.2502
2022-02-22 10:00:00,0.2514
2022-02-22 11:00:00,0.2832
2022-02-22 12:00:00,0.2703
2022-02-22 13:00:00,0.2682
2022-02-22 14:00:00,0.266
2022-02-22 15:00:00,0.2618
2022-02-22 16:00:00,0.2597
2022-02-22 17:00:00,0.2576
2022-02-22 18:00:00,0.2552
2022-02-22 19:00:00,0.2531
2022-02-22 20:00:00,0.2513
