Time,Temp_50_cm
2022-02-12 00:00:00,21.38
2022-02-12 01:00:00,21.44
2022-02-12 02:00:00,21.48
2022-02-12 03:00:00,21.53
2022-02-12 04:00:00,21.57
2022-02-12 05:00:00,21.6
2022-02-12 06:00:00,21.63
2022-02-12 07:00:00,21.64
2022-02-12 08:00:00,21.65
2022-02-12 09:00:00,21.65
2022-02-12 10:00:00,21.64
2022-02-12 11:00:00,21.65
2022-02-12 12:00:00,21.63
2022-02-12 13:00:00,21.62
2022-02-12 14:00:00,21.61
2022-02-12 15:00:00,21.61
2022-02-12 16:00:00,21.62
2022-02-12 17:00:00,21.62
2022-02-12 18:00:00,21.64
2022-02-12 19:00:00,21.68
2022-02-12 20:00:00,21.71
2022-02-12 21:00:00,21.75
2022-02-12 22:00:00,21.8
2022-02-12 23:00:00,21.85
2022-02-13 00:00:00,21.91
2022-02-13 01:00:00,21.96
2022-02-13 02:00:00,22.0
2022-02-13 03:00:00,22.04
2022-02-13 04:00:00,22.08
2022-02-13 05:00:00,22.11
2022-02-13 06:00:00,22.12
2022-02-13 07:00:00,22.14
2022-02-13 08:00:00,22.13
2022-02-13 09:00:00,22.12
2022-02-13 10:00:00,22.11
2022-02-13 11:00:00,22.1
2022-02-13 12:00:00,22.07
2022-02-13 13:00:00,22.06
2022-02-13 14:00:00,22.03
2022-02-13 15:00:00,22.02
2022-02-13 16:00:00,22.01
2022-02-13 17:00:00,22.01
2022-02-13 18:00:00,22.02
2022-02-13 19:00:00,22.03
2022-02-13 20:00:00,22.05
2022-02-13 21:00:00,22.07
2022-02-13 22:00:00,22.09
2022-02-13 23:00:00,22.12
2022-02-14 00:00:00,22.14
2022-02-14 01:00:00,22.16
2022-02-14 02:00:00,22.18
2022-02-14 03:00:00,22.19
2022-02-14 04:00:00,22.2
2022-02-14 05:00:00,22.21
2022-02-14 06:00:00,22.2
2022-02-14 07:00:00,22.19
2022-02-14 08:00:00,22.17
2022-02-14 09:00:00,22.15
2022-02-14 10:00:00,22.13
2022-02-14 11:00:00,22.11
2022-02-14 12:00:00,22.07
2022-02-14 13:00:00,22.05
2022-02-14 14:00:00,22.01
2022-02-14 15:00:00,21.97
2022-02-14 16:00:00,21.94
2022-02-14 17:00:00,21.9
2022-02-14 18:00:00,21.87
2022-02-14 19:00:00,21.84
2022-02-14 20:00:00,21.81
2022-02-14 21:00:00,21.78
2022-02-14 22:00:00,21.76
2022-02-14 23:00:00,21.74
2022-02-15 00:00:00,21.72
2022-02-15 01:00:00,21.69
2022-02-15 02:00:00,21.66
2022-02-15 03:00:00,21.64
2022-02-15 04:00:00,21.61
2022-02-15 05:00:00,21.59
2022-02-15 06:00:00,21.54
2022-02-15 07:00:00,21.52
2022-02-15 08:00:00,21.48
2022-02-15 09:00:00,21.44
2022-02-15 10:00:00,21.4
2022-02-15 11:00:00,21.35
2022-02-15 12:00:00,21.31
2022-02-15 13:00:00,21.26
2022-02-15 14:00:00,21.22
2022-02-15 15:00:00,21.19
2022-02-15 16:00:00,21.17
2022-02-15 17:00:00,21.16
2022-02-15 18:00:00,21.15
2022-02-15 19:00:00,21.14
2022-02-15 20:00:00,21.15
2022-02-15 21:00:00,21.15
2022-02-15 22:00:00,21.17
2022-02-15 23:00:00,21.19
2022-02-16 00:00:00,21.21
2022-02-16 01:00:00,21.23
2022-02-16 02:00:00,21.24
2022-02-16 03:00:00,21.25
2022-02-16 04:00:00,21.25
2022-02-16 05:00:00,21.26
2022-02-16 06:00:00,21.26
2022-02-16 07:00:00,21.24
2022-02-16 08:00:00,21.23
2022-02-16 09:00:00,21.22
2022-02-16 10:00:00,21.19
2022-02-16 11:00:00,21.17
2022-02-16 12:00:00,21.14
2022-02-16 13:00:00,21.12
2022-02-16 14:00:00,21.1
2022-02-16 15:00:00,21.07
2022-02-16 16:00:00,21.06
2022-02-16 17:00:00,21.05
2022-02-16 18:00:00,21.05
2022-02-16 19:00:00,21.06
2022-02-16 20:00:00,21.08
2022-02-16 21:00:00,21.09
2022-02-16 22:00:00,21.12
2022-02-16 23:00:00,21.16
2022-02-17 00:00:00,21.19
2022-02-17 01:00:00,21.23
2022-02-17 02:00:00,21.25
2022-02-17 03:00:00,21.29
2022-02-17 04:00:00,21.29
2022-02-17 05:00:00,21.31
2022-02-17 06:00:00,21.32
2022-02-17 07:00:00,21.32
2022-02-17 08:00:00,21.3
2022-02-17 09:00:00,21.27
2022-02-17 10:00:00,21.25
2022-02-17 11:00:00,21.22
2022-02-17 12:00:00,21.19
2022-02-17 13:00:00,21.17
2022-02-17 14:00:00,21.15
2022-02-17 15:00:00,21.12
2022-02-17 16:00:00,21.1
2022-02-17 17:00:00,21.09
2022-02-17 18:00:00,21.09
2022-02-17 19:00:00,21.09
2022-02-17 20:00:00,21.09
2022-02-17 21:00:00,21.09
2022-02-17 22:00:00,21.1
2022-02-17 23:00:00,21.13
2022-02-18 00:00:00,21.13
2022-02-18 01:00:00,21.15
2022-02-18 02:00:00,21.15
2022-02-18 03:00:00,21.17
2022-02-18 04:00:00,21.18
2022-02-18 05:00:00,21.19
2022-02-18 06:00:00,21.19
2022-02-18 07:00:00,21.18
2022-02-18 08:00:00,21.19
2022-02-18 09:00:00,21.17
2022-02-18 10:00:00,21.15
2022-02-18 11:00:00,21.14
2022-02-18 12:00:00,21.12
2022-02-18 13:00:00,21.1
2022-02-18 14:00:00,21.07
2022-02-18 15:00:00,21.05
2022-02-18 16:00:00,21.04
2022-02-18 17:00:00,21.04
2022-02-18 18:00:00,21.04
2022-02-18 19:00:00,21.05
2022-02-18 20:00:00,21.05
2022-02-18 21:00:00,21.07
2022-02-18 22:00:00,21.08
2022-02-18 23:00:00,21.1
2022-02-19 00:00:00,21.13
2022-02-19 01:00:00,21.14
2022-02-19 02:00:00,21.16
2022-02-19 03:00:00,21.17
2022-02-19 04:00:00,21.2
2022-02-19 05:00:00,21.2
2022-02-19 06:00:00,21.2
2022-02-19 07:00:00,21.2
2022-02-19 08:00:00,21.21
