Time,SWC_30_cm
2022-02-18 11:00:00,0.1313
2022-02-18 12:00:00,0.1313
2022-02-18 13:00:00,0.1315
2022-02-18 14:00:00,0.1316
2022-02-18 15:00:00,0.1318
2022-02-18 16:00:00,0.1321
2022-02-18 17:00:00,0.1323
2022-02-18 18:00:00,0.1325
2022-02-18 19:00:00,0.1326
2022-02-18 20:00:00,0.1326
2022-02-18 21:00:00,0.1325
2022-02-18 22:00:00,0.1325
2022-02-18 23:00:00,0.1324
2022-02-19 00:00:00,0.1323
2022-02-19 01:00:00,0.1322
2022-02-19 02:00:00,0.1321
2022-02-19 03:00:00,0.132
2022-02-19 04:00:00,0.1319
2022-02-19 05:00:00,0.1319
2022-02-19 06:00:00,0.1318
2022-02-19 07:00:00,0.1317
2022-02-19 08:00:00,0.1316
2022-02-19 09:00:00,0.1316
2022-02-19 10:00:00,0.1316
2022-02-19 11:00:00,0.1316
2022-02-19 12:00:00,0.1316
2022-02-19 13:00:00,0.1318
2022-02-19 14:00:00,0.132
2022-02-19 15:00:00,0.1321
2022-02-19 16:00:00,0.1322
2022-02-19 17:00:00,0.1323
2022-02-19 18:00:00,0.1323
2022-02-19 19:00:00,0.1323
2022-02-19 20:00:00,0.1322
2022-02-19 21:00:00,0.1322
2022-02-19 22:00:00,0.1321
2022-02-19 23:00:00,0.1321
2022-02-20 00:00:00,0.132
2022-02-20 01:00:00,0.1319
2022-02-20 02:00:00,0.1317
2022-02-20 03:00:00,0.1316
2022-02-20 04:00:00,0.1401
2022-02-20 05:00:00,0.1614
2022-02-20 06:00:00,0.1771
2022-02-20 07:00:00,0.1901
2022-02-20 08:00:00,0.2001
2022-02-20 09:00:00,0.2075
2022-02-20 10:00:00,0.2142
2022-02-20 11:00:00,0.2194
2022-02-20 12:00:00,0.2227
2022-02-20 13:00:00,0.2244
2022-02-20 14:00:00,0.2253
2022-02-20 15:00:00,0.2263
2022-02-20 16:00:00,0.2294
2022-02-20 17:00:00,0.2333
2022-02-20 18:00:00,0.2373
2022-02-20 19:00:00,0.2414
2022-02-20 20:00:00,0.2446
2022-02-20 21:00:00,0.2462
2022-02-20 22:00:00,0.2474
2022-02-20 23:00:00,0.2482
